team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Croatia National Team,Croatia,2026,Croatia,4,1,3,0,2,1,1,0,0,0,2,0,2,1.5,3,1,2,0,0,17,6,7,-1,13,3,10,2,4,1,6,1,-2,60,45,68,51,90,45,1,0,1,3,1,2,0,0,0,3,1,2,12,3,9,4,1,3,50,53,49,37,8,29,17,4,13,20,4,16,45,9,36,3,1,2,2,0,2,1,1,0,1,1,0,3,0,3,0,0,0,1.5,3,1,3.25,3,3.33,1.5,2,1.33,1.75,1,2,1.25,1,1.33,0.75,1,0.67,0.5,0,0.67,4,3,3,1,1,1,1,1,1,0,0,0,3,2,2,1,1,1,0,1,1,3,3,3,0,0,0,1,1,1,0,1,1,2,2,2,100,75,75,25,25,25,100,100,100,0,0,0,100,67,67,33,33,33,0,25,25,75,75,75,0,0,0,100,100,100,0,33,33,67,67,67,2,1,1,1,0,0,1,1,1,50,25,25,100,0,0,33,33,33,50,100,33,38,25,0,33,75,100,67,0,0,0,75,100,67,3,1,2,75,100,67,2,0,2,50,0,67,1,0,1,25,0,33,25,100,0,75,0,100,0,0,0,3.00,3.00,3.00,1,1,1.00,75,75,75,50,25,25,25,25,1.16,1.05,1.20,1.39,0.65,1.63,100,0,0,0,2,1,2,0,0,1,0,1,0,0,2,0,1,1,2,0,0,0,50,0,67,0
Scotland National Team,Scotland,2026,Scotland,3,2,1,0,1,0,1,0,0,0,2,2,0,1,0,3,3,0,0,35,1,4,-3,5,4,1,0,1,4,0,-4,1,273,0,90,68,45,0,1,0,1,0,0,0,2,2,0,1,0,1,12,9,3,5,2,3,44,44,46,29,20,9,7,5,2,22,15,7,42,21,21,1,0,1,3,3,0,-2,-3,1,1,0,1,0,0,0,2,2,0,1,0,3,1.67,2,1,0.33,0,1,1.33,2,0,1.33,1.5,1,0.33,0,1,1,1.5,0,3,1,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,2,2,3,3,3,0,1,1,2,2,2,0,1,1,1,1,1,100,33,33,0,0,0,100,50,50,0,0,0,100,0,0,0,0,0,0,67,67,100,100,100,0,50,50,100,100,100,0,100,100,100,100,100,3,1,0,2,1,0,1,0,0,100,33,0,100,50,0,100,0,0,33,0,100,-75,33,0,100,0,0,0,67,100,0,33,0,100,1,0,1,33,0,100,2,2,0,67,100,0,0,0,0,0,0,0,33,0,100,0,0,0,67,100,0,4.00,4.50,3.00,1.67,1,3.00,100,33,33,33,33,33,33,0,1.06,1.10,0.99,1.63,1.73,1.43,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,67,100,0,0
Japan National Team,Japan,2026,Japan,4,1,3,0,1,0,1,2,1,1,1,0,1,1.25,1,1.33,2,0,0,20,8,5,3,13,2,11,1,7,1,4,0,3,45,90,39,72,90,68,1,0,1,3,1,2,0,0,0,3,1,2,13,2,11,4,1,3,46,52,44,34,8,26,13,3,10,21,5,16,55,20,35,3,0,3,0,0,0,3,0,3,2,0,2,2,1,1,0,0,0,2,1,2.33,3.25,2,3.67,2,1,2.33,1.25,1,1.33,0.75,0,1,0.75,0,1,0,0,0,4,4,3,2,0,0,1,1,0,0,0,0,3,3,3,2,0,0,0,0,1,2,4,4,0,0,1,1,1,1,0,0,0,1,3,3,100,100,75,50,0,0,100,100,0,0,0,0,100,100,100,67,0,0,0,0,25,50,100,100,0,0,100,100,100,100,0,0,0,33,100,100,2,1,0,0,0,0,2,1,0,50,25,0,0,0,0,67,33,0,25,0,33,-15,25,0,33,75,100,67,0,0,0,75,100,67,4,1,3,100,100,100,2,1,1,50,100,33,0,0,0,0,0,0,50,0,67,50,100,33,0,0,0,3.25,2.00,3.67,1,1,1.00,100,100,50,25,0,0,0,0,1.03,0.95,1.05,1.41,1.54,1.37,50,1,0,1,1,0,2,1,0,2,0,0,0,0,0,2,2,0,1,50,100,33,25,0,33,0
Jordan National Team,Jordan,2026,Jordan,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,4,0,0,46,3,8,-5,11,7,4,2,1,5,3,-3,-2,90,90,90,34,36,30,0,0,0,3,2,1,0,0,0,1,1,0,6,3,3,4,4,0,31,28,37,24,13,11,9,5,4,15,8,7,31,24,7,1,1,0,3,2,1,-2,-1,-1,1,1,0,0,0,0,2,1,1,1,1.5,0,3.67,3.5,4,1,1,1,2.67,2.5,3,1.33,1.5,1,0.33,0.5,0,1,1,1,3,3,3,2,0,0,2,2,2,1,0,0,1,1,1,1,0,0,0,0,0,1,3,3,0,0,0,1,2,2,0,0,0,0,1,1,100,100,100,67,0,0,100,100,100,50,0,0,100,100,100,100,0,0,0,0,0,33,100,100,0,0,0,50,100,100,0,0,0,0,100,100,3,1,0,2,1,0,1,0,0,100,33,0,100,50,0,100,0,0,0,0,0,3,0,0,0,100,100,100,0,0,0,33,50,0,1,1,0,33,50,0,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,0,0,0,67,50,100,2.00,1.50,3.00,1.33,2,0.00,100,67,33,33,33,0,0,0,0.94,0.76,1.30,1.65,1.79,1.39,33,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,2,2,0,0,0,100,100,100,0
Australia National Team,Australia,2026,Australia,4,2,2,0,1,1,0,2,1,1,1,0,1,1.25,2,0.5,2,0,0,22,3,3,0,6,4,2,3,0,1,2,2,-2,120,60,0,120,180,90,2,1,1,1,1,0,2,0,2,1,1,0,16,9,7,5,0,5,41,35,47,42,25,17,12,5,7,30,20,10,46,24,22,1,1,0,3,1,2,-2,0,-2,1,1,0,1,0,1,2,1,1,1,1.5,0.5,1.5,2,1,0.75,1.5,0,0.75,0.5,1,1,1,1,0.25,0.5,0,0.75,0.5,1,3,3,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,4,4,4,4,0,0,2,2,2,2,1,1,2,2,2,2,75,75,0,0,0,0,100,100,0,0,0,0,50,50,0,0,0,0,25,25,100,100,100,100,0,0,100,100,100,100,50,50,100,100,100,100,3,1,0,2,0,0,1,1,0,75,25,0,100,0,0,50,50,0,25,50,0,67,50,50,50,25,50,0,50,0,100,25,50,0,2,1,1,50,50,50,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,25,0,50,50,50,50,4.00,4.50,3.50,1.25,0,2.50,75,75,75,75,75,25,25,0,1.21,1.33,1.10,1.69,2.41,0.99,25,0,0,1,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,50,50,50,25,0,50,0
Saudi Arabia National Team,Saudi Arabia,2026,Saudi Arabia,3,1,2,0,0,0,0,2,1,1,1,0,1,0.67,1,0.5,4,0,0,38,1,5,-4,6,2,4,1,0,1,4,0,-4,273,90,0,54,90,45,1,0,1,1,1,0,2,0,2,1,1,0,7,4,3,6,1,5,38,33,41,17,7,10,7,3,4,10,4,6,29,11,18,1,1,0,3,0,3,-2,1,-3,1,1,0,1,0,1,1,0,1,1.33,3,0.5,2,2,2,0.33,1,0,1.67,1,2,1.33,1,1.5,0.33,1,0,1,0,1.5,2,2,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,3,3,0,0,1,1,1,1,1,1,1,1,2,2,67,67,33,33,0,0,100,100,0,0,0,0,50,50,50,50,0,0,33,33,67,67,100,100,0,0,100,100,100,100,50,50,50,50,100,100,2,1,1,1,0,0,1,1,1,67,33,33,100,0,0,50,50,50,0,0,0,122,33,0,50,33,100,0,67,0,100,33,100,0,2,1,1,67,100,50,2,0,2,67,0,100,0,0,0,0,0,0,33,100,0,33,0,50,33,0,50,2.33,4.00,1.50,2,1,2.50,67,33,33,33,33,33,33,33,0.75,0.86,0.71,2.33,2.97,2.01,33,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,1,0,67,100,50,33,0,50,33
Qatar National Team,Qatar,2026,Qatar,3,1,2,0,0,0,0,1,1,0,2,0,2,0.33,1,0,4,0,0,39,2,10,-8,12,2,10,1,1,1,9,0,-8,134,90,180,27,90,20,0,0,0,2,1,1,1,0,1,0,0,0,9,3,6,8,2,6,33,32,34,17,6,11,6,3,3,11,3,8,36,12,24,1,0,1,6,1,5,-5,-1,-4,0,0,0,0,0,0,3,1,2,0,0,0,4,2,5,0.67,1,0.5,3.33,1,4.5,2.33,1,3,0.33,0,0.5,2,1,2.5,3,3,2,2,1,1,1,1,0,0,0,0,2,2,2,2,1,1,0,0,1,1,2,2,0,0,1,1,1,1,0,0,0,0,1,1,100,100,67,67,33,33,100,100,0,0,0,0,100,100,100,100,50,50,0,0,33,33,67,67,0,0,100,100,100,100,0,0,0,0,50,50,3,2,2,1,0,0,2,2,2,100,67,67,100,0,0,100,100,100,0,0,0,60,0,0,0,67,100,50,33,0,50,0,0,0,0,0,0,0,0,0,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,0,0,0,100,100,100,3.00,3.00,3.00,2.67,2,3.00,100,100,100,100,67,67,67,33,0.63,0.71,0.59,2.71,2.76,2.69,67,0,0,0,0,1,0,0,0,1,0,2,2,1,1,0,1,2,1,33,100,0,67,0,100,33
Iran National Team,Iran,2026,Iran,3,1,2,0,0,0,0,3,1,2,0,0,0,1,1,1,3,0,0,34,3,3,0,6,4,2,2,1,2,1,0,0,90,45,180,90,45,180,1,0,1,2,1,1,1,0,1,0,0,0,8,4,4,6,1,5,39,49,35,37,17,20,11,4,7,26,13,13,35,10,25,2,1,1,2,1,1,0,0,0,0,0,0,3,1,2,0,0,0,1,1,1,2,4,1,1,2,0.5,1,2,0.5,1.33,2,1,0.67,1,0.5,0.67,1,0.5,2,2,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,2,2,3,3,0,0,0,0,1,1,1,1,2,2,2,2,67,67,33,33,0,0,100,100,100,100,0,0,50,50,0,0,0,0,33,33,67,67,100,100,0,0,0,0,100,100,50,50,100,100,100,100,2,2,0,1,1,0,1,1,0,67,67,0,100,100,0,50,50,0,0,0,0,0,33,0,50,67,100,50,33,0,50,0,0,0,1,0,1,33,0,50,1,0,1,33,0,50,2,1,1,67,100,50,0,0,0,100,100,100,0,0,0,2.67,4.00,2.00,2,1,2.50,33,33,33,33,0,0,0,0,1.32,1.75,1.11,1.97,1.77,2.07,67,0,1,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,100,100,100,0,0,0,0
Uzbekistan National Team,Uzbekistan,2026,Uzbekistan,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,43,2,11,-9,13,4,9,1,1,3,8,-2,-7,134,90,180,25,30,23,0,0,0,2,1,1,1,0,1,1,0,1,9,3,6,4,1,3,38,39,38,18,8,10,5,2,3,13,6,7,45,14,31,1,0,1,4,1,3,-3,-1,-2,1,0,1,0,0,0,2,1,1,1,0,1.5,4.33,4,4.5,0.67,1,0.5,3.67,3,4,1.67,1,2,0.33,0,0.5,1.33,1,1.5,3,3,3,3,1,0,1,1,1,1,0,0,2,2,2,2,1,0,0,0,0,0,2,3,0,0,0,0,1,1,0,0,0,0,1,2,100,100,100,100,33,0,100,100,100,100,0,0,100,100,100,100,50,0,0,0,0,0,67,100,0,0,0,0,100,100,0,0,0,0,50,100,3,1,1,1,0,0,2,1,1,100,33,33,100,0,0,100,50,50,0,0,0,34,0,0,0,67,100,50,33,0,50,33,0,50,1,0,1,33,0,50,2,1,1,67,100,50,0,0,0,0,0,0,33,0,50,0,0,0,67,100,50,3.00,3.00,3.00,1.33,1,1.50,33,0,0,0,0,0,0,0,0.74,0.85,0.69,1.85,1.53,2.02,67,1,0,0,0,0,1,0,0,0,1,1,0,2,0,1,2,1,3,0,0,0,100,100,100,0
South Korea National Team,South Korea,2026,South Korea,3,1,2,0,1,1,0,0,0,0,2,0,2,1,3,0,3,0,0,33,2,3,-1,5,3,2,2,0,1,2,1,-2,134,45,0,90,90,90,0,0,0,1,1,0,2,0,2,0,0,0,12,4,8,4,1,3,63,62,63,32,15,17,11,6,5,21,9,12,25,9,16,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,1,1,1.67,3,1,0.67,2,0,1,1,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,2,2,3,3,3,0,0,0,1,1,1,0,2,2,2,2,2,100,33,33,0,0,0,100,100,100,0,0,0,100,0,0,0,0,0,0,67,67,100,100,100,0,0,0,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,100,0,0,0,0,0,33,100,0,67,0,100,0,0,0,3,1,2,100,100,100,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,4.00,4.00,4.00,1.33,1,1.50,67,67,67,33,0,0,0,0,1.35,1.65,1.20,1.07,1.04,1.10,33,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,67,0,100,0
Ivory Coast National Team,Ivory Coast,2026,Ivory Coast,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,2,0,0,18,5,4,1,9,4,5,2,3,2,2,0,1,72,90,60,90,90,90,2,1,1,2,1,1,0,0,0,3,1,2,26,17,9,4,3,1,50,48,52,45,29,16,14,9,5,31,20,11,29,16,13,2,0,2,1,1,0,1,-1,2,2,0,2,1,1,0,1,1,0,1.75,0.5,3,2.25,2,2.5,1.25,1,1.5,1,1,1,0.75,0.5,1,0.5,0,1,0.25,0.5,0,4,3,2,0,0,0,2,1,1,0,0,0,2,2,1,0,0,0,0,1,2,4,4,4,0,1,1,2,2,2,0,0,1,2,2,2,100,75,50,0,0,0,100,50,50,0,0,0,100,100,50,0,0,0,0,25,50,100,100,100,0,50,50,100,100,100,0,0,50,100,100,100,3,0,0,1,0,0,2,0,0,75,0,0,50,0,0,100,0,0,50,50,50,0,50,50,50,50,50,50,0,0,0,75,50,100,3,1,2,75,50,100,2,2,0,50,100,0,0,0,0,0,0,0,50,0,100,25,50,0,25,50,0,6.50,8.50,4.50,1,1.5,0.50,100,100,75,75,50,25,25,25,1.38,1.69,1.07,1.40,1.23,1.57,25,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,2,0,0,0,50,50,50,25
Argentina National Team,Argentina,2026,Argentina,7,5,2,0,7,5,2,0,0,0,0,0,0,3,3,3,1,0,0,1,19,7,12,26,19,7,14,5,5,2,9,3,33,32,36,90,90,90,2,2,0,5,3,2,0,0,0,4,3,1,37,25,12,9,6,3,61,58,69,112,85,27,44,35,9,68,50,18,88,66,22,6,4,2,1,1,0,5,3,2,5,4,1,1,0,1,1,1,0,2.29,2.4,2,3.71,3.8,3.5,2.71,2.8,2.5,1,1,1,1,1,1,0.86,0.8,1,0.14,0.2,0,7,7,6,4,2,0,5,5,4,3,2,0,2,2,2,1,0,0,0,0,1,3,5,7,0,0,1,2,3,5,0,0,0,1,2,2,100,100,86,57,29,0,100,100,80,60,40,0,100,100,100,50,0,0,0,0,14,43,71,100,0,0,20,40,60,100,0,0,0,50,100,100,6,1,0,5,0,0,1,1,0,86,14,0,100,0,0,50,50,0,100,100,100,0,29,40,0,71,60,100,0,0,0,57,60,50,6,4,2,86,80,100,2,1,1,29,20,50,0,0,0,0,0,0,71,80,50,14,0,50,14,20,0,5.29,5.00,6.00,1.29,1.2,1.50,71,43,28,28,14,14,14,14,1.86,1.97,1.59,0.95,1.07,0.66,57,1,2,1,2,0,1,0,3,5,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,14
Uruguay National Team,Uruguay,2026,Uruguay,3,2,1,0,0,0,0,2,1,1,1,1,0,0.67,0.5,1,3,0,0,37,3,4,-1,7,5,2,2,1,3,1,-1,0,90,90,90,68,60,90,0,0,0,2,1,1,1,1,0,0,0,0,26,12,14,7,7,0,55,49,67,49,22,27,13,3,10,36,19,17,31,25,6,2,2,0,3,2,1,-1,0,-1,1,1,0,0,0,0,2,1,1,1,1.5,0,2.33,2.5,2,1,1,1,1.33,1.5,1,1.67,2,1,0.67,1,0,1,1,1,3,2,1,1,0,0,2,1,1,1,0,0,1,1,0,0,0,0,0,1,2,2,3,3,0,1,1,1,2,2,0,0,1,1,1,1,100,67,33,33,0,0,100,50,50,50,0,0,100,100,0,0,0,0,0,33,67,67,100,100,0,50,50,50,100,100,0,0,100,100,100,100,3,1,1,2,1,1,1,0,0,100,33,33,100,50,50,100,0,0,0,0,0,-7,0,0,0,67,50,100,33,50,0,0,0,0,0,0,0,0,0,0,2,1,1,67,50,100,1,1,0,33,50,0,33,50,0,0,0,0,67,50,100,8.67,6.00,14.00,2.33,3.5,0.00,100,67,67,67,67,67,67,67,1.82,1.25,2.97,0.92,0.96,0.86,33,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,1,0,0,67,50,100,33,50,0,67
Ecuador National Team,Ecuador,2026,Ecuador,4,2,2,0,1,1,0,1,1,0,2,0,2,1,2,0,3,0,0,28,2,4,-2,6,3,3,2,0,1,3,1,-3,180,90,0,90,180,60,1,1,0,1,1,0,3,1,2,0,0,0,25,12,13,10,4,6,56,57,55,53,34,19,20,18,2,33,16,17,49,22,27,1,1,0,3,1,2,-2,0,-2,0,0,0,3,2,1,1,0,1,0.75,1,0.5,1.5,1.5,1.5,0.5,1,0,1,0.5,1.5,1,1,1,0.25,0.5,0,0.75,0.5,1,3,2,1,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,1,2,3,4,4,4,1,1,1,2,2,2,0,1,2,2,2,2,75,50,25,0,0,0,50,50,50,0,0,0,100,50,0,0,0,0,25,50,75,100,100,100,50,50,50,100,100,100,0,50,100,100,100,100,2,2,0,1,1,0,1,1,0,50,50,0,50,50,0,50,50,0,25,50,0,75,25,50,0,25,50,0,75,50,100,0,0,0,2,1,1,50,50,50,3,1,2,75,50,100,1,1,0,25,50,0,0,0,0,75,100,50,25,0,50,6.25,6.00,6.50,2.5,2,3.00,75,75,50,25,25,0,0,0,1.62,2.20,1.05,1.33,1.16,1.50,50,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,25,50,0,50,0,100,0
Ghana National Team,Ghana,2026,Ghana,4,1,3,0,1,1,0,1,0,1,2,0,2,1,3,0.33,3,0,0,29,2,3,-1,5,1,4,1,1,0,3,1,-2,180,90,273,120,0,90,2,1,1,1,0,1,2,0,2,1,1,0,8,2,6,6,1,5,36,38,36,23,7,16,4,2,2,19,5,14,56,9,47,0,0,0,2,0,2,-2,0,-2,0,0,0,2,1,1,2,0,2,0.5,1,0.33,1.25,1,1.33,0.5,1,0.33,0.75,0,1,0.5,0,0.67,0,0,0,0.5,0,0.67,3,1,1,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,3,3,4,4,4,0,1,1,1,1,1,1,2,2,3,3,3,75,25,25,0,0,0,100,0,0,0,0,0,67,33,33,0,0,0,25,75,75,100,100,100,0,100,100,100,100,100,33,67,67,100,100,100,2,0,0,0,0,0,2,0,0,50,0,0,0,0,0,67,0,0,25,100,0,100,50,100,33,25,0,33,50,0,67,25,100,0,2,1,1,50,100,33,4,1,3,100,100,100,0,0,0,0,0,0,0,0,0,50,100,33,50,0,67,2.00,2.00,2.00,1.5,1,1.67,25,25,25,25,25,0,0,0,0.62,0.85,0.55,1.62,1.41,1.69,25,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,25,0,33,50,0,67,0
Brazil National Team,Brazil,2026,Brazil,5,4,1,0,3,2,1,1,1,0,1,1,0,2,1.75,3,1,0,0,11,10,4,6,14,11,3,7,3,4,0,3,3,45,51,30,113,90,0,2,1,1,3,3,0,0,0,0,2,1,1,27,21,6,8,6,2,53,53,54,74,53,21,30,21,9,44,32,12,51,40,11,6,4,2,2,2,0,4,2,2,2,1,1,2,2,0,1,1,0,1.6,1.25,3,2.8,2.75,3,2,1.75,3,0.8,1,0,1.6,1.5,2,1.2,1,2,0.4,0.5,0,5,5,4,0,0,0,4,4,3,0,0,0,1,1,1,0,0,0,0,0,1,5,5,5,0,0,1,4,4,4,0,0,0,1,1,1,100,100,80,0,0,0,100,100,75,0,0,0,100,100,100,0,0,0,0,0,20,100,100,100,0,0,25,100,100,100,0,0,0,100,100,100,4,3,1,3,2,1,1,1,0,80,60,20,75,50,25,100,100,0,60,50,100,-19,40,25,100,60,75,0,0,0,0,40,25,100,3,2,1,60,50,100,2,2,0,40,50,0,1,1,0,20,25,0,40,25,100,40,50,0,20,25,0,5.40,5.25,6.00,1.6,1.5,2.00,100,100,40,40,20,20,20,0,1.73,1.60,2.25,1.18,1.10,1.51,40,1,0,1,2,2,2,0,0,2,0,0,2,0,0,0,0,1,1,20,25,0,20,25,0,0
United States Men's National Team,USMNT,2026,USA,5,4,1,0,3,3,0,0,0,0,2,1,1,1.8,2.25,0,1,0,0,12,11,8,3,19,14,5,9,2,5,3,4,-1,41,40,45,56,72,30,2,2,0,3,2,1,0,0,0,4,3,1,26,17,9,9,8,1,57,58,53,59,41,18,19,12,7,40,29,11,56,43,13,8,7,1,4,2,2,4,5,-1,3,3,0,0,0,0,2,1,1,1.8,2.25,0,3.8,3.5,5,2.2,2.25,2,1.6,1.25,3,2.4,2.25,3,1.6,1.75,1,0.8,0.5,2,5,5,3,3,3,0,4,4,2,2,2,0,1,1,1,1,1,0,0,0,2,2,2,5,0,0,2,2,2,4,0,0,0,0,0,1,100,100,60,60,60,0,100,100,50,50,50,0,100,100,100,100,100,0,0,0,40,40,40,100,0,0,50,50,50,100,0,0,0,0,0,100,5,4,3,4,3,2,1,1,1,100,80,60,100,75,50,100,100,100,60,75,0,12,40,50,0,60,50,100,0,0,0,80,75,100,3,3,0,60,75,0,0,0,0,0,0,0,2,1,1,40,25,100,60,75,0,0,0,0,40,25,100,5.20,4.25,9.00,1.8,2,1.00,80,60,40,40,40,0,0,0,1.43,1.30,1.92,1.08,1.07,1.12,20,2,1,0,2,4,0,0,0,2,2,0,0,2,0,1,0,1,2,0,0,0,40,25,100,0
